gross_income_between,number_of_individuals,total_gross_income_euro_m,,,,,,
"0 - 10,000",546133,2702.9,,,,,,
"10,000 - 12,000",142215,1559.92,,,,,,
"12,000 - 15,000",206665,2770.86,,,,,,
"15,000 - 17,000",124485,1991.73,,,,,,
"17,000 - 20,000",188556,3487.43,,,,,,
"20,000 - 25,000",294190,6616.1,,,,,,
"25,000 - 27,000",111378,2894.86,,,,,,
"27,000 - 30,000",158646,4522.17,,,,,,
"30,000 - 35,000",249130,8087.36,,,,,,
"35,000 - 40,000",192318,7193.96,,,,,,
"40,000 - 50,000",265480,11838.54,,,,,,
"50,000 - 60,000",165919,9053.04,,,,,,
"60,000 - 70,000",94061,6078.39,,,,,,
"70,000 - 75,000",31823,2303.41,,,,,,
"75,000 - 80,000",24729,1914.25,,,,,,
"80,000 - 90,000",35765,3028,,,,,,
"90,000 - 100,000",23438,2219.44,,,,,,5929.3
"100,000 - 150,000",49718,5929.3,,,,,,
"150,000 - 200,000",15368,2636.4,,,,,,
"200,000 - 275,000",9259,2140.66,,,,,,
"Over 275,000",10224,5596.39,,,,,,
