Rank,No.,President,Height 
44,4,James Madison,163 cm
42,8,Martin Van Buren,168 cm
42,23,Benjamin Harrison,168 cm
40,2,John Adams,170 cm
40,25,William McKinley,170 cm
39,6,John Quincy Adams,171 cm
35,9,William Henry Harrison,173 cm
35,11,James K. Polk,173 cm
35,12,Zachary Taylor,173 cm
35,18,Ulysses S. Grant,173 cm
34,19,Rutherford B. Hayes,174 cm
32,13,Millard Fillmore,175 cm
32,33,Harry S. Truman,175 cm
31,39,Jimmy Carter,177 cm
27,14,Franklin Pierce,178 cm
27,17,Andrew Johnson,178 cm
27,26,Theodore Roosevelt,178 cm
27,30,Calvin Coolidge,178 cm
26,34,Dwight D. Eisenhower,179 cm
24,"22, 24",Grover Cleveland,180 cm
24,28,Woodrow Wilson,180 cm
20,27,William Howard Taft,182 cm
20,31,Herbert Hoover,182 cm
20,37,Richard Nixon,182 cm
20,43,George W. Bush,182 cm
14,5,James Monroe,183 cm
14,10,John Tyler,183 cm
14,15,James Buchanan,183 cm
14,20,James A. Garfield,183 cm
14,29,Warren G. Harding,183 cm
14,38,Gerald Ford,183 cm
10,7,Andrew Jackson,185 cm
10,35,John F. Kennedy,185 cm
10,40,Ronald Reagan,185 cm
10,44,Barack Obama,185 cm
5,1,George Washington,188 cm
5,21,Chester A. Arthur,188 cm
5,32,Franklin D. Roosevelt,188 cm
5,41,George H. W. Bush,188 cm
5,42,Bill Clinton,188 cm
4,3,Thomas Jefferson,189 cm
3,45,Donald Trump,191 cm
2,36,Lyndon B. Johnson,192 cm
1,16,Abraham Lincoln,193 cm
